	position in rank using contigs	position in rank with raw reads	counts - contigs	counts - raw reads
PGUG_00660	4277	4658	69	37
TTHE_0178	4277	8686	69	0
PLNC	4277	8686	69	0
NRDJ	4290	2270	68	196
ITGB4	4290	2553	68	146
IOLI	4290	2616	68	138
GUCY2C	4290	2759	68	122
YGAI	4290	3073	68	95
HSD17B11	4290	3318	68	79
YMFM	4290	3395	68	75
CAPZB	4290	3424	68	73
ALDOB	4290	3531	68	68
ENC_21280	4290	3632	68	64
EPN1	4290	4160	68	47
DESOR_2616	4290	5309	68	28
RIHB	4290	5690	68	24
WCGV	4290	5805	68	23
TACF	4290	8686	68	0
CP_0167	4290	8686	68	0
SCLAV_1551	4290	8686	68	0
GNE	4307	2575	67	143
ATP2A2	4307	3111	67	92
SLC6A14	4307	3226	67	84
SPATS2L	4307	3373	67	76
TARJ	4307	4249	67	45
CHMP2B	4307	4985	67	32
LITAF	4307	5923	67	22
UBE2D3	4307	6950	67	15
NWAT_0414	4307	8686	67	0
CIAH	4307	8686	67	0
SP_1824	4307	8686	67	0
COOC1	4307	8686	67	0
CASA	4307	8686	67	0
OCAR_4155	4307	8686	67	0
TRESU_0262	4307	8686	67	0
YITT	4322	2497	66	155
BAIF	4322	3285	66	81
RPS6	4322	3787	66	58
PRDX5	4322	5585	66	25
BCSG	4322	5690	66	24
GLUT-R	4322	6027	66	21
WZX	4322	6769	66	16
CATR	4322	8590	66	5
DET0253	4322	8686	66	0
CKL_1872	4322	8686	66	0
CAS5E	4322	8686	66	0
ODOSP_3020	4322	8686	66	0
KYNB	4322	8686	66	0
SCLAV_2603	4322	8686	66	0
CHMP4B	4336	2947	65	104
PABPC1	4336	3471	65	71
UGCG	4336	3761	65	59
MAP2K1	4336	3900	65	54
GDE1	4336	4341	65	43
CCNL2	4336	4390	65	42
SGK2	4336	4546	65	39
TNIP3	4336	4902	65	33
SIGB	4336	5481	65	26
PPP1CA	4336	5805	65	23
AFUA3	4336	8686	65	0
PHAJ	4336	8686	65	0
HINDIIIM	4336	8686	65	0
SSPD	4349	2135	64	223
JAK1	4349	3301	64	80
BTG2	4349	3657	64	63
AK2	4349	3761	64	59
SUN2	4349	3999	64	51
MAP2K3	4349	4160	64	47
TST	4349	4291	64	44
YRKN	4349	4341	64	43
CTDSP2	4349	4390	64	42
KIAA0247	4349	5923	64	22
MUCPA_5825	4349	6950	64	15
BVDR	4349	8686	64	0
HSFA	4349	8686	64	0
FRLR	4349	8686	64	0
TAM	4349	8686	64	0
FEOB2	4364	2506	63	153
AFTPH	4364	2625	63	136
ADHR	4364	3318	63	79
MAP4	4364	3679	63	62
CAPZA2	4364	3761	63	59
WCFF	4364	3787	63	58
B3GNT2	4364	3787	63	58
ACOA	4364	4116	63	48
AGR2	4364	4546	63	39
GNB2	4364	4546	63	39
MURRU_2691	4364	4712	63	36
SUGE	4364	4839	63	34
RPS27	4364	5072	63	31
SPICA_1757	4364	5481	63	26
COX6A1	4364	5481	63	26
MET17	4364	7989	63	9
WBPV	4364	8686	63	0
CMR6	4364	8686	63	0
TMRB	4364	8686	63	0
COBM	4383	2375	62	175
ATRNL1	4383	3033	62	98
ACAP2	4383	3285	62	81
OAS1	4383	3488	62	70
LYTC	4383	3900	62	54
SLC22A23	4383	4160	62	47
SLC35F5	4383	4390	62	42
PLR1	4383	4902	62	33
MOEA	4383	5309	62	28
GERLA	4383	6769	62	16
TMSB4X	4383	6769	62	16
OCAR_6892	4383	7103	62	14
SGBU	4383	7989	62	9
MOCB	4383	8686	62	0
OARD1	4383	8686	62	0
COLA	4383	8686	62	0
SGLY_0559	4383	8686	62	0
PARP4	4400	2717	61	126
LUTC	4400	3046	61	97
CCDC68	4400	3141	61	90
RBM39	4400	3471	61	71
BMUL_0500	4400	3872	61	55
YLFI	4400	3872	61	55
SKP1	4400	4040	61	50
BMUL_3003	4400	4040	61	50
UGPA	4400	4073	61	49
PLSCR1	4400	4712	61	36
ZFAND5	4400	4767	61	35
MTRA	4400	8686	61	0
QNRR	4400	8686	61	0
YPGD	4400	8686	61	0
OCAR_6158	4414	1639	60	418
RHAM	4414	1822	60	324
HDLBP	4414	2293	60	191
GLTP	4414	2975	60	102
NUPC	4414	3156	60	89
HNRNPF	4414	3596	60	65
ACADL	4414	3900	60	54
SNX5	4414	3900	60	54
BCAS1	4414	3900	60	54
S100A14	4414	3931	60	53
CTSZ	4414	3931	60	53
ERO1L	4414	3999	60	51
F2RL1	4414	4073	60	49
NFKBIA	4414	4341	60	43
CST	4414	4441	60	41
CLCAR_3364	4414	4501	60	40
BL01717	4414	4902	60	33
WBMF	4414	6607	60	17
WBDN	4414	8686	60	0
ARAP2	4433	2899	59	108
CAP1	4433	3170	59	88
DDX3X	4433	3268	59	82
CDHD	4433	3578	59	66
HNRNPK	4433	3708	59	61
PRELID1	4433	3999	59	51
STAP2	4433	4040	59	50
VAPA	4433	4199	59	46
ARPJ	4433	4249	59	45
MDAB	4433	7989	59	9
DUT1	4433	8686	59	0
YBAC	4433	8686	59	0
HIST1H2AA	4433	8686	59	0
EA59	4433	8686	59	0
BL01162	4433	8686	59	0
INADL	4448	2703	58	128
CASP8	4448	3509	58	69
NHLRC2	4448	3632	58	64
SP_0275	4448	3872	58	55
SORE	4448	3872	58	55
MPI	4448	3900	58	54
SLC37A1	4448	3900	58	54
FECE	4448	4073	58	49
HMGCS1	4448	4291	58	44
WSB1	4448	4501	58	40
PTTG1IP	4448	4902	58	33
HGS	4448	5072	58	31
GRAMD3	4448	5690	58	24
ACA_0077	4448	6769	58	16
ROCF	4448	8590	58	5
Y3008	4448	8686	58	0
SCLAV_5660	4448	8686	58	0
PDHR	4448	8686	58	0
YBIW	4466	1630	57	423
TRAK	4466	2357	57	178
YBX1	4466	2987	57	101
PTK2B	4466	3073	57	95
PAPSS2	4466	3285	57	81
AFF4	4466	3560	57	67
PPP2R5A	4466	3845	57	56
ITCH	4466	3965	57	52
PITPNA	4466	3999	57	51
COX5A	4466	3999	57	51
BTF3	4466	4546	57	39
MAE_21040	4466	4600	57	38
EIF4EBP2	4466	8686	57	0
CP_0807	4466	8686	57	0
OORA	4466	8686	57	0
TNP3509A	4466	8686	57	0
SCLAV_2714	4466	8686	57	0
SGLY_0555	4466	8686	57	0
PHAF	4466	8686	57	0
UQCRH	4466	8686	57	0
BAS2425	4466	8686	57	0
HK1	4487	2585	56	142
LAMB3	4487	3471	56	71
CBRB	4487	3632	56	64
RPL4	4487	3787	56	58
PGAM1	4487	4073	56	49
CIB1	4487	4390	56	42
RAB5C	4487	4767	56	35
C6ORF62	4487	4902	56	33
YVOA	4487	6312	56	19
ANK	4487	8686	56	0
WBYK	4487	8686	56	0
ATP11B	4498	2585	55	142
TATA	4498	2856	55	112
PORAS_0418	4498	3033	55	98
AZIN1	4498	3226	55	84
RPL6	4498	3285	55	81
CLRN3	4498	3373	55	76
NDRG1	4498	3509	55	69
ETS2	4498	3578	55	66
HEPACAM2	4498	3999	55	51
GHITM	4498	3999	55	51
NT5C3	4498	4199	55	46
TRIB1	4498	4249	55	45
DGAT2	4498	4390	55	42
RPL17	4498	4767	55	35
ATP6V1E1	4498	4839	55	34
CA2	4498	4902	55	33
UBA52	4498	5072	55	31
MGST3	4498	6312	55	19
AFER_0153	4498	6769	55	16
RPL26L1	4498	7103	55	14
AGAV	4498	7989	55	9
RLP	4498	8686	55	0
HMI1	4498	8686	55	0
YHFZ	4498	8686	55	0
TENI	4498	8686	55	0
BL01494	4498	8686	55	0
METTL7A	4498	8686	55	0
CLCAR_4227	4498	8686	55	0
SCLAV_5278	4498	8686	55	0
MTAP	4498	8686	55	0
FADE	4528	1783	54	338
GLYQ	4528	2918	54	106
FGD6	4528	2987	54	101
HXLB	4528	3351	54	77
ANKRD13A	4528	3373	54	76
SRRM2	4528	3578	54	66
GDA	4528	3596	54	65
YKOV	4528	3845	54	56
RAB1A	4528	3900	54	54
YLXQ	4528	3900	54	54
VDAC1	4528	3900	54	54
TAGLN2	4528	3931	54	53
PRDX1	4528	4390	54	42
TMBIM1	4528	4902	54	33
MTMR11	4528	5072	54	31
TMEM236	4528	5395	54	27
SERP1218	4528	8686	54	0
SSLG_00057	4528	8686	54	0
MCP40H-11	4528	8686	54	0
YYAT	4528	8686	54	0
YDHC	4528	8686	54	0
GYY_02940	4549	2684	53	129
YXJH	4549	3182	53	87
TUFT1	4549	3452	53	72
ABCG2	4549	3471	53	71
VCL	4549	3596	53	65
COBH	4549	3657	53	63
SLC17A4	4549	3845	53	56
NCSTN	4549	4116	53	48
LAD1	4549	4116	53	48
ARHGDIA	4549	4160	53	47
BMUL_5873	4549	4441	53	41
HMGB1	4549	4501	53	40
SERF2	4549	4839	53	34
IST1	4549	5230	53	29
ARF6	4549	5585	53	25
NUPR1	4549	6027	53	21
GLNR	4549	6180	53	20
LYSE	4549	6950	53	15
HIST1H4F	4549	8686	53	0
OORC	4549	8686	53	0
PRSA2	4549	8686	53	0
WBBL	4549	8686	53	0
OCAR_7026	4549	8686	53	0
BMUL_3053	4549	8686	53	0
SP_2199	4549	8686	53	0
YKGC	4574	3073	52	95
GALR	4574	3338	52	78
TRPV3	4574	3351	52	77
FABG2	4574	3452	52	72
EIF5	4574	3817	52	57
C1ORF106	4574	4390	52	42
CTSA	4574	4546	52	39
PRR15L	4574	4658	52	37
CNHA	4574	5395	52	27
RPS14	4574	5481	52	26
CITM	4574	5481	52	26
PURR	4574	5690	52	24
FBXL3	4574	6312	52	19
SSCG_05895	4574	8175	52	8
OORB	4574	8686	52	0
EFFR	4574	8686	52	0
BA_0280	4574	8686	52	0
SRFB	4574	8686	52	0
FG09209,1	4574	8686	52	0
SP_1394	4574	8686	52	0
VIRE	4594	2322	51	185
KIF5B	4594	3001	51	100
HNRNPUL2	4594	3596	51	65
GIPC2	4594	3657	51	63
RBSU	4594	3679	51	62
ST6GALNAC6	4594	3731	51	60
CAPZA1	4594	3999	51	51
TRP3	4594	3999	51	51
CAPNS1	4594	4116	51	48
TNS4	4594	4160	51	47
ITFG3	4594	4501	51	40
ANXA7	4594	4546	51	39
MDH2	4594	4546	51	39
TMEM37	4594	4658	51	37
SARE_3740	4594	4658	51	37
YPRA	4594	4839	51	34
RDRA	4594	4902	51	33
NEURL3	4594	4902	51	33
MT1102	4594	6312	51	19
BL01872	4594	7814	51	10
CASE	4594	8686	51	0
ABP1	4615	3338	50	78
EDF1	4615	3965	50	52
MGAT4B	4615	3999	50	51
STK24	4615	4040	50	50
CHMP1A	4615	4501	50	40
RNF128	4615	4658	50	37
TNKS1BP1	4615	4658	50	37
CELCD	4615	4902	50	33
EFNB2	4615	5230	50	29
MTNW	4615	6312	50	19
TUBA1A	4615	6433	50	18
BPET1039	4615	7629	50	11
ELI_1315	4615	8686	50	0
MLL3	4628	2234	49	200
AKR1C4	4628	3301	49	80
ABAT	4628	3509	49	69
CLOCL_0345	4628	3531	49	68
YQXD	4628	3761	49	59
DPPF	4628	3761	49	59
BAG1	4628	4116	49	48
LAMP2	4628	4341	49	43
CHMP2A	4628	4341	49	43
COX6B1	4628	4341	49	43
RPL23A	4628	4390	49	42
NDEL1	4628	4767	49	35
RAB7A	4628	4839	49	34
COX7A2	4628	4839	49	34
PNPLA2	4628	5072	49	31
SP_2144	4628	5481	49	26
ID1	4628	6433	49	18
SSUB	4628	6769	49	16
Y3735	4628	8686	49	0
UXUR	4628	8686	49	0
PELX	4628	8686	49	0
SCLAV_2519	4628	8686	49	0
PUUR	4650	2121	48	227
BAS3444	4650	2703	48	128
PRDE	4650	2759	48	122
ENC_43240	4650	2780	48	120
YKUU	4650	3059	48	96
FNIP2	4650	3657	48	63
HIST1H1E	4650	3708	48	61
UQCRC2	4650	4501	48	40
GRPEL2	4650	4712	48	36
YURN	4650	4767	48	35
CALML4	4650	4902	48	33
AFUB2	4650	5309	48	28
ORF1	4650	5395	48	27
RPL18A	4650	5481	48	26
YAER	4650	5690	48	24
YHES	4650	5805	48	23
SP_1144	4650	6769	48	16
YIDA	4650	7814	48	10
ORR	4650	8686	48	0
MVAN_0286	4650	8686	48	0
MSHA	4650	8686	48	0
LIGB	4650	8686	48	0
CP_1034	4650	8686	48	0
WCBK	4673	2375	47	175
HERC4	4673	3096	47	93
ATP9A	4673	3096	47	93
MAPK3	4673	3560	47	67
ETHE1	4673	3900	47	54
ATP5F1	4673	4073	47	49
RPS11	4673	4116	47	48
TMIGD1	4673	4291	47	44
BLNK	4673	4839	47	34
TSG101	4673	5148	47	30
CVPA	4673	5230	47	29
C19ORF77	4673	5309	47	28
TRXB2	4673	6180	47	20
TMEM171	4673	6312	47	19
SCLAV_3984	4673	6769	47	16
RND3	4673	7283	47	13
RKPK	4673	7629	47	11
PHAG	4673	8467	47	6
SP_0607	4673	8686	47	0
HGAIR	4673	8686	47	0
RIMJ	4673	8686	47	0
YFES	4673	8686	47	0
ATP2C2	4695	3129	46	91
XYNT	4695	3192	46	86
DHX32	4695	3531	46	68
TM9SF3	4695	3531	46	68
RPL11	4695	3632	46	64
H1F0	4695	3731	46	60
ILYOP_1740	4695	3787	46	58
VCP	4695	3872	46	55
GALNT7	4695	4040	46	50
GPD2	4695	4291	46	44
ETV3	4695	4390	46	42
WSB2	4695	4985	46	32
NDUFS3	4695	5585	46	25
PPAP2C	4695	6433	46	18
BCOP_0467	4695	6607	46	17
SP_0743	4695	8175	46	8
GERM	4695	8686	46	0
TLPA	4695	8686	46	0
BMUL_3686	4695	8686	46	0
KDGD	4695	8686	46	0
EIF3C	4715	3111	45	92
HSP90B1	4715	3226	45	84
TRSK	4715	3250	45	83
STIM1	4715	3596	45	65
RPL13	4715	3900	45	54
PYROXD1	4715	3931	45	53
PARM1	4715	4767	45	35
RAB11A	4715	4839	45	34
GLRX	4715	4985	45	32
SP_0577	4715	5395	45	27
FWDE	4715	6607	45	17
CTB4	4715	7629	45	11
PNB	4715	7814	45	10
YMFA	4715	8686	45	0
SOTB	4715	8686	45	0
SLIP_0195	4715	8686	45	0
MAE_07830	4715	8686	45	0
PS305	4715	8686	45	0
HIF1A	4733	3395	44	75
HYPF	4733	3560	44	67
NUFIP2	4733	3578	44	66
DDX17	4733	4040	44	50
DUSP6	4733	4160	44	47
NDUFA6	4733	4199	44	46
PTPRR	4733	4390	44	42
RELB	4733	4546	44	39
TRADD	4733	4712	44	36
EMP1	4733	4712	44	36
SOD1	4733	5072	44	31
MAP1LC3B	4733	5585	44	25
MARCKSL1	4733	6180	44	20
EGR1	4733	6312	44	19
PYKF	4733	7103	44	14
YTRE	4748	1573	43	460
LKTB	4748	2023	43	254
GABD	4748	2947	43	104
YGAC	4748	3087	43	94
SBNO2	4748	3141	43	90
FRK	4748	3596	43	65
C1GALT1	4748	3657	43	63
TRPC	4748	3965	43	52
ATF4	4748	4441	43	41
PPA1	4748	4546	43	39
RASGEF1B	4748	4767	43	35
GRTP1	4748	5148	43	30
VPS70	4748	6607	43	17
GMHB	4748	6769	43	16
YJIA	4748	6769	43	16
HYMD	4748	8686	43	0
YGIF	4748	8686	43	0
COX5B	4748	8686	43	0
NOS2	4766	2731	42	125
HADHA	4766	3471	42	71
PSEN1	4766	3531	42	68
CAB39	4766	3679	42	62
SNX1	4766	3845	42	56
CDS1	4766	3965	42	52
FKBP8	4766	4040	42	50
IL18	4766	4600	42	38
GNS	4766	4712	42	36
HNRNPC	4766	4839	42	34
HPYIIIM	4766	5072	42	31
DBNL	4766	5148	42	30
LMRB	4766	6027	42	21
RSBU	4766	6312	42	19
LIPASE	4766	6607	42	17
PURE1	4766	8686	42	0
RPLP1	4766	8686	42	0
YDCH	4766	8686	42	0
WAAV	4766	8686	42	0
DYNLL1	4766	8686	42	0
WAVK	4766	8686	42	0
SP_1064	4766	8686	42	0
HYAD	4766	8686	42	0
SP_0064	4789	2671	41	131
CLSTN1	4789	3226	41	84
CHMP3	4789	4249	41	45
WDTC1	4789	4341	41	43
UBXN2A	4789	4441	41	41
TMEM140	4789	4501	41	40
Z2133	4789	4712	41	36
RPS12	4789	4902	41	33
MYLIP	4789	4985	41	32
ATP5G3	4789	6180	41	20
SGLY_0540	4789	6607	41	17
BMUL_3137	4789	8686	41	0
YGEV	4789	8686	41	0
ZURA	4789	8686	41	0
RFBU	4789	8686	41	0
YOAZ	4789	8686	41	0
FG11280,1	4789	8686	41	0
HOOK1	4806	2867	40	111
WWP2	4806	3226	40	84
ANXA11	4806	3632	40	64
RPS17	4806	4073	40	49
TDCF	4806	4116	40	48
TAUA	4806	4441	40	41
MARC2	4806	4546	40	39
TOR3A	4806	4712	40	36
FAM102B	4806	4712	40	36
DDX6	4806	4767	40	35
CAPRIN1	4806	4767	40	35
GPBP1L1	4806	5690	40	24
SP_1873	4806	5805	40	23
XSEB	4806	8686	40	0
ABFC	4806	8686	40	0
GYY_01300	4806	8686	40	0
FG02836,1	4806	8686	40	0
BMUL_4274	4806	8686	40	0
MURRU_2692	4806	8686	40	0
CLCAR_2692	4806	8686	40	0
YBEQ	4806	8686	40	0
TKTA	4827	2188	39	212
ELI_1297	4827	2431	39	165
BL02899	4827	2843	39	114
ARHGAP17	4827	3338	39	78
ZDHHC13	4827	3395	39	75
NIFU1	4827	3679	39	62
SP_1688	4827	4116	39	48
FDFT1	4827	4501	39	40
RPL31	4827	5148	39	30
SCLAV_0149	4827	5309	39	28
ATP6V0C	4827	5309	39	28
DCK	4827	5395	39	27
YHDF	4827	7463	39	12
SMPC	4827	8686	39	0
ALSR	4827	8686	39	0
YDEZ	4827	8686	39	0
CEL5D	4827	8686	39	0
BL01928	4827	8686	39	0
LHV_1541	4827	8686	39	0
MURP	4827	8686	39	0
VPA0199	4827	8686	39	0
BMUL_2277	4848	2135	38	223
GCC2	4848	2458	38	161
HYUA	4848	2843	38	114
CTRA	4848	3226	38	84
SLC3A1	4848	3596	38	65
FCHO2	4848	3845	38	56
CHPA	4848	3845	38	56
RERE	4848	4116	38	48
PTBP1	4848	4199	38	46
ACTR1B	4848	4441	38	41
CLTB	4848	4441	38	41
NPTN	4848	4658	38	37
MAL2	4848	5481	38	26
RPS9	4848	5690	38	24
PAFAH1B1	4848	5923	38	22
AMET_1055	4848	8686	38	0
CLPS	4848	8686	38	0
SCLAV_1189	4848	8686	38	0
COMP	4848	8686	38	0
AGUR	4848	8686	38	0
WECD3	4848	8686	38	0
GND	4869	768	37	1873
CTHE_0148	4869	1818	37	326
MAGI3	4869	2906	37	107
GLPD	4869	3001	37	100
ITSN2	4869	3192	37	86
CARD14	4869	3301	37	80
KHNYN	4869	3708	37	61
UBA7	4869	4073	37	49
SEMA3C	4869	4116	37	48
FAM108C1	4869	4441	37	41
CBR1	4869	4600	37	38
TMED2	4869	4767	37	35
YKGA	4869	4839	37	34
STX7	4869	4902	37	33
UQCRFS1	4869	5230	37	29
NDUFB9	4869	5230	37	29
CLOCL_2342	4869	5309	37	28
STX12	4869	5585	37	25
YPEL3	4869	6607	37	17
METF-2	4869	6950	37	15
YDCQ	4869	7103	37	14
C22ORF32	4869	7463	37	12
IFI27	4869	8686	37	0
XYLR-2	4869	8686	37	0
AMPC	4869	8686	37	0
LGAS_0626	4869	8686	37	0
SP_0111	4869	8686	37	0
HBEGF	4869	8686	37	0
CLPC2	4897	2791	36	119
WZT	4897	3931	36	53
AZI2	4897	4199	36	46
SLC3A2	4897	4291	36	44
FCHSD2	4897	4441	36	41
STAT6	4897	4600	36	38
PSME1	4897	4600	36	38
COPG1	4897	4658	36	37
FADD35	4897	4658	36	37
DCAF12	4897	4658	36	37
YBJE	4897	7463	36	12
YAZB	4897	7629	36	11
FRUB	4897	7814	36	10
SP_0608	4897	8333	36	7
VANRB	4897	8686	36	0
FECD	4897	8686	36	0
GGAA	4897	8686	36	0
LFERR_0328	4897	8686	36	0
DAZAP2	4897	8686	36	0
YVLD	4897	8686	36	0
YFEW	4897	8686	36	0
LLAI	4897	8686	36	0
YKRP	4897	8686	36	0
PURQ	4920	2127	35	225
MYO10	4920	2610	35	139
ROCK2	4920	2772	35	121
DAAM1	4920	3170	35	88
HSP90AA1	4920	3351	35	77
STXBP1	4920	3531	35	68
PPP1R15B	4920	3931	35	53
RPL10A	4920	4160	35	47
CASP4	4920	4767	35	35
B4GALT1	4920	5395	35	27
ADIPOR2	4920	5585	35	25
SMAD2	4920	5923	35	22
HERPUD1	4920	5923	35	22
RHOM_13740	4920	6769	35	16
YBET	4920	6950	35	15
BRADO0293	4920	8686	35	0
YLBK	4920	8686	35	0
EUTP	4920	8686	35	0
YDZF	4920	8686	35	0
TMEM106B	4920	8686	35	0
NAT	4920	8686	35	0
PERP	4920	8686	35	0
CYSB	4920	8686	35	0
HECTD1	4943	2811	34	117
YJIM	4943	3046	34	97
DPNII	4943	3351	34	77
PACSIN2	4943	3596	34	65
RPS6KA1	4943	3731	34	60
CUL1	4943	3817	34	57
C11ORF54	4943	3900	34	54
CLCN2	4943	4249	34	45
TMCO3	4943	4291	34	44
HEXIM1	4943	4341	34	43
BRD2	4943	4390	34	42
RPS7	4943	4441	34	41
RPL12	4943	4600	34	38
RAPH1	4943	4902	34	33
FLEN	4943	4985	34	32
EFNB1	4943	5072	34	31
ARPC3	4943	5148	34	30
RPS23	4943	5230	34	29
RAD21	4943	5309	34	28
HIGD1A	4943	5481	34	26
COX6C	4943	5585	34	25
SC5DL	4943	5690	34	24
RASSF3	4943	5923	34	22
RPL29	4943	6312	34	19
HOXB13	4943	7103	34	14
BL03433	4943	7283	34	13
SP_2064	4943	8686	34	0
YFJK	4943	8686	34	0
CYCLASE	4943	8686	34	0
SELRC1	4943	8686	34	0
ENR	4943	8686	34	0
GATC2	4943	8686	34	0
SPKA	4943	8686	34	0
YDAG	4943	8686	34	0
VAMP8	4943	8686	34	0
PROWY	4943	8686	34	0
CLOCL_1601	4943	8686	34	0
XKDT	4943	8686	34	0
TAUC	4981	2123	33	226
WAPAL	4981	3129	33	91
JAK2	4981	3250	33	83
GTF2IRD1	4981	3268	33	82
JHDM1D	4981	3452	33	72
NAALADL1	4981	3488	33	70
PFKFB4	4981	4249	33	45
MICU1	4981	4249	33	45
SUCLG2	4981	4249	33	45
RFWD2	4981	4441	33	41
VPS28	4981	4658	33	37
ATP5J2	4981	4712	33	36
ATP5O	4981	4985	33	32
KDELR2	4981	5072	33	31
PSMB1	4981	5923	33	22
YETA	4981	6433	33	18
PLGRKT	4981	6950	33	15
CPN_0489	4981	8686	33	0
BL03104	4981	8686	33	0
MVIM	4981	8686	33	0
YCBK	4981	8686	33	0
ARL1	4981	8686	33	0
YKFB2	4981	8686	33	0
PBPE	4981	8686	33	0
DAPC	5005	2811	32	117
ACO2	5005	2962	32	103
PEPX	5005	3001	32	100
ME2	5005	3351	32	77
GPR	5005	3488	32	70
PAPSS1	5005	3708	32	61
CPEB4	5005	3872	32	55
GNA14	5005	4249	32	45
BL01773	5005	4341	32	43
CHMP5	5005	4390	32	42
SYAP1	5005	4546	32	39
FAM190A	5005	4600	32	38
SUDS3	5005	4902	32	33
SUCLG1	5005	4985	32	32
WASF2	5005	5805	32	23
PLEKHF2	5005	6180	32	20
OCAR_5556	5005	6433	32	18
C1ORF63	5005	6433	32	18
RPS27A	5005	6950	32	15
FG08797,1	5005	8686	32	0
CKL_1885	5005	8686	32	0
CEPT1	5005	8686	32	0
LGAS_0604	5005	8686	32	0
NR3C2	5028	2703	31	128
PRRC2C	5028	2791	31	119
LRP6	5028	2975	31	102
YQEH	5028	2975	31	102
SORT1	5028	3488	31	70
APOL3	5028	3578	31	66
KALRN	5028	3787	31	58
NANS	5028	3787	31	58
CANT1	5028	4341	31	43
PUM2	5028	4501	31	40
ZMYM2	5028	4546	31	39
RPL27	5028	4839	31	34
PHZF	5028	5309	31	28
ARPC4	5028	6027	31	21
GUCD1	5028	6027	31	21
TP53INP1	5028	6180	31	20
SRI	5028	6769	31	16
PCPA	5028	8686	31	0
BMUL_1547	5028	8686	31	0
WCFL	5028	8686	31	0
UNC119	5028	8686	31	0
CSM6	5028	8686	31	0
SPTBN2	5050	2684	30	129
YOEB	5050	2947	30	104
AAP	5050	3156	30	89
FAM114A2	5050	3679	30	62
LMTK2	5050	3817	30	57
ZC3H7A	5050	3872	30	55
SECISBP2L	5050	3931	30	53
CFR9IM	5050	3999	30	51
SMON_0558	5050	4390	30	42
EHF	5050	4712	30	36
ZMIZ1	5050	4902	30	33
PPP1R2	5050	5230	30	29
RTN3	5050	5395	30	27
TSC22D1	5050	5585	30	25
KIAA1671	5050	5690	30	24
PPP1R14D	5050	7629	30	11
CHEX	5050	8590	30	5
YYAH	5050	8686	30	0
VIRS	5050	8686	30	0
CG2937	5050	8686	30	0
UPPS2	5050	8686	30	0
CDC42BPB	5071	2629	29	135
YQFL	5071	3708	29	61
VPS35	5071	3761	29	59
TTC39A	5071	4199	29	46
UCP2	5071	4600	29	38
ATP6AP2	5071	5148	29	30
TMBIM4	5071	5395	29	27
DBI	5071	5481	29	26
UQCRB	5071	5585	29	25
RPL35A	5071	6433	29	18
YHHX	5071	7629	29	11
PGPA	5071	7989	29	9
LPSE	5071	8686	29	0
SPOIIAA	5071	8686	29	0
YFIQ	5071	8686	29	0
XYLP	5086	2392	28	172
ANKHD1	5086	2738	28	124
ASNA2	5086	3285	28	81
CAPN13	5086	3657	28	63
LLGL2	5086	3731	28	60
AP2A2	5086	4249	28	45
SLC5A8	5086	4441	28	41
CHUK	5086	4600	28	38
PCBP2	5086	4902	28	33
SCAMP2	5086	4985	28	32
TMEM66	5086	5230	28	29
ATP5H	5086	5395	28	27
TXNDC17	5086	6180	28	20
RASSF1	5086	6769	28	16
YAIS	5086	8686	28	0
SLGD_00086	5086	8686	28	0
AES2	5086	8686	28	0
GNO	5086	8686	28	0
EPSIIL	5086	8686	28	0
GATC	5105	2326	27	184
SORL1	5105	3001	27	100
UBR5	5105	3268	27	82
MYL12A	5105	3285	27	81
BRD1	5105	3761	27	59
ACE2	5105	3787	27	58
LRRC42	5105	3817	27	57
FAM129A	5105	3872	27	55
SDF4	5105	4073	27	49
AK3	5105	4441	27	41
DEDD2	5105	4441	27	41
PPM1B	5105	5690	27	24
TCTA	5105	6769	27	16
ACIN_0074	5105	7463	27	12
H2AFZ	5105	8175	27	8
CAID	5105	8333	27	7
PTH_0213	5105	8686	27	0
SGLY_0547	5105	8686	27	0
C3ORF52	5105	8686	27	0
COXM	5105	8686	27	0
ZZEF1	5125	2440	26	164
CSOS1A	5125	3141	26	90
ARHGAP35	5125	3411	26	74
UAP1	5125	3424	26	73
TRPM4	5125	3596	26	65
ARIH2	5125	4390	26	42
SP_0298	5125	4390	26	42
UBAP1	5125	4658	26	37
SNX3	5125	4839	26	34
YHCV	5125	4985	26	32
RPS19	5125	5230	26	29
SLC35E1	5125	5230	26	29
CASP3	5125	5585	26	25
PLEKHA1	5125	5690	26	24
PPM1A	5125	5690	26	24
OA238_1294	5125	5690	26	24
ATXN2L	5125	5805	26	23
UQCRQ	5125	6607	26	17
GPX1	5125	7103	26	14
TENA	5125	7463	26	12
UCKL1	5125	7629	26	11
NIRJ	5125	8333	26	7
AM1_2098	5125	8686	26	0
SBNG	5125	8686	26	0
HK09	5125	8686	26	0
BAMA	5150	2491	25	156
UBA1	5150	3509	25	69
KCNK5	5150	3787	25	58
TTC7A	5150	3965	25	52
ESD	5150	4902	25	33
HNRNPL	5150	4985	25	32
KIAA1191	5150	6027	25	21
CBIO2	5150	7283	25	13
RAB6A	5150	7814	25	10
RPL28	5150	8686	25	0
CBPD	5150	8686	25	0
NANR	5150	8686	25	0
OCAR_5646	5150	8686	25	0
SPECC1	5163	3395	24	75
PLEKHA7	5163	3596	24	65
EIF3H	5163	4160	24	47
ARHGAP27	5163	4249	24	45
CCNL1	5163	4985	24	32
CDCP1	5163	5148	24	30
